trip_duration_days,miles_traveled,total_receipts_amount,actual_reimbursement,champion_prediction,error,abs_error
3,1027.0,180.0,804.96,796.1915,8.768471679687536,8.768471679687536
9,483.0,52.64,949.04,887.10077,61.939230957031214,61.939230957031214
6,836.0,2035.17,1718.79,1809.0503,-90.26029296875004,90.26029296875004
2,13.0,4.67,203.52,172.06694,31.453059692382823,31.453059692382823
7,1086.0,2319.81,1858.36,1813.7593,44.6007226562499,44.6007226562499
8,1005.0,1391.37,1987.39,1893.1786,94.2114111328126,94.2114111328126
3,182.0,347.82,384.77,416.51376,-31.743763427734393,31.743763427734393
3,275.0,543.74,572.73,654.1923,-81.46232177734373,81.46232177734373
8,413.0,222.83,802.95,823.5188,-20.568798828124955,20.568798828124955
7,756.0,1473.59,1961.96,1821.996,139.96402832031254,139.96402832031254
9,1165.0,1868.79,1945.95,1861.187,84.76298828125005,84.76298828125005
12,1046.0,1850.85,1875.72,1869.3855,6.334501953125027,6.334501953125027
11,273.0,502.37,862.61,913.97534,-51.365341796874986,51.365341796874986
13,125.0,2004.61,1721.56,1750.8553,-29.295346679687555,29.295346679687555
1,780.0,366.37,516.69,588.2424,-71.5523706054687,71.5523706054687
14,976.0,1526.58,1995.87,2118.0022,-122.13219726562511,122.13219726562511
8,266.87,252.08,880.41,802.69995,77.71004882812497,77.71004882812497
9,131.0,1990.0,1557.2,1562.1986,-4.9986083984374545,4.9986083984374545
6,290.0,814.04,1077.35,1151.7113,-74.36130371093759,74.36130371093759
3,80.0,21.05,366.87,423.79764,-56.92763793945312,56.92763793945312
12,1077.0,32.55,1387.43,1307.91,79.51996582031256,79.51996582031256
10,459.0,2183.11,1559.59,1614.8552,-55.26522460937508,55.26522460937508
10,57.0,936.89,1237.07,1291.3939,-54.323920898437564,54.323920898437564
14,767.0,186.47,1292.77,1158.0214,134.74863769531248,134.74863769531248
8,1053.0,1864.01,1794.57,1847.5236,-52.953559570312564,52.953559570312564
6,1044.0,47.46,1133.45,1037.2657,96.18425292968755,96.18425292968755
2,423.0,1639.17,1367.64,1316.1848,51.4551855468751,51.4551855468751
6,697.0,651.64,1237.71,1165.2511,72.45890136718754,72.45890136718754
1,1068.0,2011.28,1421.45,1434.2819,-12.831860351562455,12.831860351562455
4,1048.0,279.75,780.15,826.30365,-46.15364990234377,46.15364990234377
7,671.0,1262.85,1600.42,1651.4747,-51.05473144531243,51.05473144531243
5,1120.0,1514.91,1658.97,1679.3518,-20.381806640624973,20.381806640624973
3,240.0,1895.67,1386.33,1418.8297,-32.49971191406257,32.49971191406257
12,1003.0,983.23,1996.18,2016.519,-20.339042968749936,20.339042968749936
1,822.0,2170.53,1374.91,1445.1718,-70.26175292968742,70.26175292968742
8,297.64,481.09,835.08,857.6551,-22.57509033203121,22.57509033203121
11,916.0,1036.91,2098.07,1980.4567,117.61333496093766,117.61333496093766
5,755.0,1584.41,1729.08,1704.652,24.428022460937427,24.428022460937427
1,359.62,221.15,255.57,237.51018,18.059822387695306,18.059822387695306
5,132.0,2387.03,1454.05,1497.3088,-43.258837890625045,43.258837890625045
10,1192.0,23.47,1157.87,1213.7148,-55.84484375000011,55.84484375000011
9,1012.0,1429.04,1880.76,2010.9854,-130.2253515625,130.2253515625
9,578.0,1167.71,1587.21,1638.6285,-51.418540039062464,51.418540039062464
4,477.0,18.97,631.5,578.9172,52.58282470703125,52.58282470703125
14,414.0,1919.7,1918.89,1918.2391,0.6508642578126,0.6508642578126
10,5.0,1338.9,1610.25,1489.8301,120.419921875,120.419921875
2,1175.0,816.2,1237.62,1187.4303,50.18970214843739,50.18970214843739
3,1158.0,1107.4,1361.3,1442.6542,-81.35417480468755,81.35417480468755
6,522.0,1210.87,1577.01,1555.582,21.42796874999999,21.42796874999999
11,448.0,732.79,1090.35,1182.417,-92.06699218750009,92.06699218750009
8,323.0,46.48,703.45,765.1502,-61.700207519531205,61.700207519531205
4,184.0,983.77,1202.69,1178.0522,24.637753906250055,24.637753906250055
7,950.0,1739.62,2032.23,1857.3723,174.85768554687502,174.85768554687502
3,1159.0,2209.44,1434.84,1492.6143,-57.77425781250008,57.77425781250008
8,372.0,348.37,950.24,850.026,100.21399902343751,100.21399902343751
3,127.0,293.49,303.2,347.77304,-44.573040771484386,44.573040771484386
6,907.0,1650.17,1737.86,1837.4087,-99.5486914062501,99.5486914062501
1,432.0,581.71,448.34,584.0882,-135.74819580078128,135.74819580078128
10,631.0,1220.71,1730.86,1768.6989,-37.8388525390626,37.8388525390626
2,1139.0,306.43,726.14,640.3821,85.75791992187499,85.75791992187499
1,716.0,1396.41,1376.59,1331.7964,44.79361328124992,44.79361328124992
8,392.0,661.27,978.13,945.3641,32.765925292968745,32.765925292968745
3,375.0,1346.21,1339.93,1388.7125,-48.782524414062436,48.782524414062436
4,262.0,1681.28,1435.34,1506.418,-71.07796875000008,71.07796875000008
11,532.0,2419.86,1653.69,1648.2069,5.483090820312555,5.483090820312555
1,250.0,1300.17,1145.33,1142.1005,3.2295361328124272,3.2295361328124272
3,307.0,266.21,540.97,465.4454,75.52459594726565,75.52459594726565
3,606.0,1184.23,1364.54,1404.7234,-40.183388671875036,40.183388671875036
11,17.0,550.58,830.07,892.404,-62.3339916992187,62.3339916992187
6,924.0,1227.21,1871.76,1825.2678,46.49217773437499,46.49217773437499
7,1126.0,1103.75,2014.72,2057.1462,-42.42624023437497,42.42624023437497
10,273.0,799.9,1155.05,1140.844,14.206005859374955,14.206005859374955
1,309.0,1211.37,1110.55,1132.147,-21.596972656250045,21.596972656250045
12,307.0,957.17,1432.75,1408.3082,24.4417724609375,24.4417724609375
12,96.0,1164.37,1553.21,1646.1458,-92.93575195312496,92.93575195312496
8,467.0,1178.71,1483.33,1495.3258,-11.995805664062573,11.995805664062573
10,150.0,418.41,844.9,826.1121,18.787878417968727,18.787878417968727
4,205.0,545.57,682.22,653.49976,28.720244140625027,28.720244140625027
2,1189.0,1164.74,1666.52,1394.672,271.8480029296875,271.8480029296875
10,1083.0,2105.36,1844.58,1909.5131,-64.93306152343757,64.93306152343757
5,36.0,2022.94,1410.58,1432.4495,-21.869462890625073,21.869462890625073
6,471.0,332.51,872.19,919.706,-47.515993652343695,47.515993652343695
10,643.0,2263.77,1685.92,1661.7356,24.184404296875073,24.184404296875073
11,24.0,2029.04,1569.37,1550.7858,18.58423339843739,18.58423339843739
12,714.0,2003.23,1829.06,1886.8086,-57.748593750000055,57.748593750000055
