trip_duration_days,miles_traveled,total_receipts_amount,actual_reimbursement,champion_prediction,error,abs_error
3,1027.0,180.0,804.96,782.05664,22.903359375000036,22.903359375000036
9,483.0,52.64,949.04,919.7411,29.298911132812464,29.298911132812464
6,836.0,2035.17,1718.79,1782.2494,-63.459389648437536,63.459389648437536
2,13.0,4.67,203.52,125.40373,78.11626770019532,78.11626770019532
7,1086.0,2319.81,1858.36,1839.8353,18.5246728515624,18.5246728515624
8,1005.0,1391.37,1987.39,1913.698,73.6920019531251,73.6920019531251
3,182.0,347.82,384.77,484.06912,-99.29912231445314,99.29912231445314
3,275.0,543.74,572.73,636.6439,-63.91392089843748,63.91392089843748
8,413.0,222.83,802.95,821.91016,-18.960156249999955,18.960156249999955
7,756.0,1473.59,1961.96,1837.1233,124.83670898437504,124.83670898437504
9,1165.0,1868.79,1945.95,1933.3873,12.562670898437545,12.562670898437545
12,1046.0,1850.85,1875.72,1960.526,-84.80600097656247,84.80600097656247
11,273.0,502.37,862.61,967.75476,-105.14476074218749,105.14476074218749
13,125.0,2004.61,1721.56,1738.4845,-16.924497070312555,16.924497070312555
1,780.0,366.37,516.69,561.7018,-45.011782226562445,45.011782226562445
14,976.0,1526.58,1995.87,2156.758,-160.8880566406251,160.8880566406251
8,266.87,252.08,880.41,711.1693,169.24068847656247,169.24068847656247
9,131.0,1990.0,1557.2,1534.5194,22.680590820312545,22.680590820312545
6,290.0,814.04,1077.35,1122.794,-45.44394531250009,45.44394531250009
3,80.0,21.05,366.87,354.88297,11.98703491210938,11.98703491210938
12,1077.0,32.55,1387.43,1375.294,12.136054687500064,12.136054687500064
10,459.0,2183.11,1559.59,1639.9751,-80.38509765625008,80.38509765625008
10,57.0,936.89,1237.07,1257.8325,-20.762519531250064,20.762519531250064
14,767.0,186.47,1292.77,1333.3982,-40.62819335937502,40.62819335937502
8,1053.0,1864.01,1794.57,1881.6515,-87.08148925781256,87.08148925781256
6,1044.0,47.46,1133.45,1068.0804,65.36955566406255,65.36955566406255
2,423.0,1639.17,1367.64,1393.584,-25.9439843749999,25.9439843749999
6,697.0,651.64,1237.71,1233.2266,4.483437500000036,4.483437500000036
1,1068.0,2011.28,1421.45,1418.1488,3.3011962890625455,3.3011962890625455
4,1048.0,279.75,780.15,933.11615,-152.96614990234377,152.96614990234377
7,671.0,1262.85,1600.42,1683.5768,-83.15678222656243,83.15678222656243
5,1120.0,1514.91,1658.97,1757.5696,-98.59958007812497,98.59958007812497
3,240.0,1895.67,1386.33,1367.257,19.073041992187427,19.073041992187427
12,1003.0,983.23,1996.18,1974.9076,21.272407226562564,21.272407226562564
1,822.0,2170.53,1374.91,1441.3407,-66.43069824218742,66.43069824218742
8,297.64,481.09,835.08,812.6239,22.45609863281254,22.45609863281254
11,916.0,1036.91,2098.07,1891.0747,206.99529296875016,206.99529296875016
5,755.0,1584.41,1729.08,1732.6892,-3.6092089843750728,3.6092089843750728
1,359.62,221.15,255.57,294.4606,-38.89060180664063,38.89060180664063
5,132.0,2387.03,1454.05,1416.8064,37.243603515624955,37.243603515624955
10,1192.0,23.47,1157.87,1373.853,-215.9830273437501,215.9830273437501
9,1012.0,1429.04,1880.76,1986.5386,-105.77857421875001,105.77857421875001
9,578.0,1167.71,1587.21,1650.232,-63.022055664062464,63.022055664062464
4,477.0,18.97,631.5,707.3478,-75.8477783203125,75.8477783203125
14,414.0,1919.7,1918.89,1909.723,9.1669775390626,9.1669775390626
10,5.0,1338.9,1610.25,1455.6906,154.5594482421875,154.5594482421875
2,1175.0,816.2,1237.62,1140.6671,96.95288574218739,96.95288574218739
3,1158.0,1107.4,1361.3,1440.3351,-79.03508300781255,79.03508300781255
6,522.0,1210.87,1577.01,1541.5817,35.42833496093749,35.42833496093749
11,448.0,732.79,1090.35,1283.1176,-192.7675537109376,192.7675537109376
8,323.0,46.48,703.45,743.3981,-39.948071289062455,39.948071289062455
4,184.0,983.77,1202.69,1107.3975,95.29253906250005,95.29253906250005
7,950.0,1739.62,2032.23,1891.8662,140.36378906250002,140.36378906250002
3,1159.0,2209.44,1434.84,1510.9122,-76.07223144531258,76.07223144531258
8,372.0,348.37,950.24,810.2387,140.00129150390626,140.00129150390626
3,127.0,293.49,303.2,313.08438,-9.884381103515636,9.884381103515636
6,907.0,1650.17,1737.86,1860.2888,-122.4288183593751,122.4288183593751
1,432.0,581.71,448.34,553.6349,-105.29488769531253,105.29488769531253
10,631.0,1220.71,1730.86,1753.3329,-22.4728857421876,22.4728857421876
2,1139.0,306.43,726.14,648.2457,77.89427246093749,77.89427246093749
1,716.0,1396.41,1376.59,1351.3309,25.259067382812418,25.259067382812418
8,392.0,661.27,978.13,1017.5884,-39.458378906250005,39.458378906250005
3,375.0,1346.21,1339.93,1389.9781,-50.048149414062436,50.048149414062436
4,262.0,1681.28,1435.34,1455.8331,-20.493129882812582,20.493129882812582
11,532.0,2419.86,1653.69,1713.8845,-60.194521484374945,60.194521484374945
1,250.0,1300.17,1145.33,1140.0541,5.275922851562427,5.275922851562427
3,307.0,266.21,540.97,527.50995,13.460051269531277,13.460051269531277
3,606.0,1184.23,1364.54,1412.5619,-48.021889648437536,48.021889648437536
11,17.0,550.58,830.07,822.0694,8.0006030273438,8.0006030273438
6,924.0,1227.21,1871.76,1826.4724,45.28758789062499,45.28758789062499
7,1126.0,1103.75,2014.72,1906.4365,108.28347656250003,108.28347656250003
10,273.0,799.9,1155.05,1208.4098,-53.359790039062545,53.359790039062545
1,309.0,1211.37,1110.55,1102.0095,8.540478515624955,8.540478515624955
12,307.0,957.17,1432.75,1519.9513,-87.2012939453125,87.2012939453125
12,96.0,1164.37,1553.21,1594.5123,-41.302329101562464,41.302329101562464
8,467.0,1178.71,1483.33,1548.0702,-64.74019042968757,64.74019042968757
10,150.0,418.41,844.9,783.3486,61.55142822265623,61.55142822265623
4,205.0,545.57,682.22,669.2359,12.984099121093777,12.984099121093777
2,1189.0,1164.74,1666.52,1407.1615,259.3585009765625,259.3585009765625
10,1083.0,2105.36,1844.58,1908.9548,-64.37483398437507,64.37483398437507
5,36.0,2022.94,1410.58,1346.3647,64.21525390624993,64.21525390624993
6,471.0,332.51,872.19,866.897,5.293027343750055,5.293027343750055
10,643.0,2263.77,1685.92,1690.8463,-4.926313476562427,4.926313476562427
11,24.0,2029.04,1569.37,1583.6322,-14.26220214843761,14.26220214843761
12,714.0,2003.23,1829.06,1846.8857,-17.825742187500055,17.825742187500055
4,305.0,125.79,664.43,612.275,52.15497558593745,52.15497558593745
14,296.0,485.68,924.9,1182.9102,-258.01015625,258.01015625
11,741.0,1207.39,1878.06,1864.8401,13.219912109374945,13.219912109374945
12,986.0,2390.92,1760.0,1845.2954,-85.29541015625,85.29541015625
8,978.0,710.43,1624.58,1608.1781,16.401899414062427,16.401899414062427
8,1009.0,1378.07,1903.76,1929.7927,-26.03272460937501,26.03272460937501
3,80.0,517.54,457.49,489.81876,-32.328756103515616,32.328756103515616
10,164.0,1144.9,1516.43,1503.9999,12.430122070312564,12.430122070312564
5,840.0,941.55,1676.48,1548.3164,128.16359375000002,128.16359375000002
5,629.0,484.34,1029.87,958.8819,70.98810302734364,70.98810302734364
6,761.0,530.19,1120.1,1157.712,-37.61203613281259,37.61203613281259
1,292.0,449.83,363.02,396.91763,-33.89763305664064,33.89763305664064
2,370.0,1554.5,1311.23,1349.2296,-37.99961425781248,37.99961425781248
