trip_duration_days,miles_traveled,total_receipts_amount,actual_reimbursement,predicted_reimbursement,error,abs_error
3,1027.0,180.0,804.96,762.12146,42.838562,42.838562
9,483.0,52.64,949.04004,879.78906,69.25098,69.25098
6,836.0,2035.17,1718.79,1778.8845,-60.094482,60.094482
2,13.0,4.67,203.52007,179.14507,24.375,24.375
7,1086.0,2319.81,1858.36,1833.1163,25.243652,25.243652
8,1005.0,1391.37,1987.39,1844.3319,143.0581,143.0581
3,182.0,347.82,384.77,469.6738,-84.90381,84.90381
3,275.0,543.74,572.73,629.2604,-56.530396,56.530396
8,413.0,222.83,802.95,786.8035,16.146484,16.146484
7,756.0,1473.59,1961.96,1827.2162,134.74377,134.74377
9,1165.0,1868.79,1945.95,1871.5717,74.378296,74.378296
12,1046.0,1850.85,1875.72,1850.5862,25.13379,25.13379
11,273.0,502.37,862.61,921.482,-58.87201,58.87201
13,125.0,2004.61,1721.5599,1680.429,41.13098,41.13098
1,780.0,366.37,516.69006,597.11426,-80.424194,80.424194
14,976.0,1526.58,1995.87,2006.7289,-10.858887,10.858887
8,266.87,252.08,880.41,706.7433,173.66669,173.66669
9,131.0,1990.0,1557.2,1543.3589,13.841064,13.841064
6,290.0,814.04,1077.35,1142.0884,-64.7384,64.7384
3,80.0,21.05,366.86996,385.73386,-18.863892,18.863892
12,1077.0,32.55,1387.43,1335.2404,52.189697,52.189697
10,459.0,2183.11,1559.59,1624.2114,-64.62146,64.62146
10,57.0,936.89,1237.07,1318.602,-81.532104,81.532104
14,767.0,186.47,1292.77,1293.542,-0.77197266,0.77197266
8,1053.0,1864.01,1794.57,1825.82,-31.25,31.25
6,1044.0,47.46,1133.45,1118.1056,15.34436,15.34436
2,423.0,1639.17,1367.64,1331.6086,36.031372,36.031372
6,697.0,651.64,1237.71,1204.857,32.852905,32.852905
1,1068.0,2011.28,1421.45,1441.7688,-20.318848,20.318848
4,1048.0,279.75,780.15,827.569,-47.418945,47.418945
7,671.0,1262.85,1600.42,1659.4288,-59.00879,59.00879
5,1120.0,1514.91,1658.97,1690.2118,-31.241821,31.241821
3,240.0,1895.67,1386.33,1381.7325,4.597412,4.597412
12,1003.0,983.23,1996.18,1975.2961,20.883911,20.883911
1,822.0,2170.53,1374.91,1454.8673,-79.957275,79.957275
8,297.64,481.09,835.08,810.941,24.139038,24.139038
11,916.0,1036.91,2098.07,1881.4669,216.60315,216.60315
5,755.0,1584.41,1729.08,1700.0732,29.006714,29.006714
1,359.62,221.15,255.56999,324.29202,-68.72203,68.72203
5,132.0,2387.03,1454.05,1499.0804,-45.030396,45.030396
10,1192.0,23.47,1157.87,1373.8759,-216.00586,216.00586
9,1012.0,1429.04,1880.76,1929.3851,-48.625122,48.625122
9,578.0,1167.71,1587.21,1644.3374,-57.12744,57.12744
4,477.0,18.97,631.50006,625.7089,5.7911377,5.7911377
14,414.0,1919.7,1918.89,1850.7631,68.12695,68.12695
10,5.0,1338.9,1610.25,1490.3268,119.92322,119.92322
2,1175.0,816.2,1237.62,1153.4417,84.178345,84.178345
3,1158.0,1107.4,1361.3,1410.9727,-49.672607,49.672607
6,522.0,1210.87,1577.01,1524.588,52.421997,52.421997
11,448.0,732.79,1090.35,1245.6058,-155.25586,155.25586
8,323.0,46.48,703.45,713.64966,-10.199646,10.199646
4,184.0,983.77,1202.69,1162.7705,39.919434,39.919434
7,950.0,1739.62,2032.23,1869.3586,162.87134,162.87134
3,1159.0,2209.44,1434.84,1506.4329,-71.592896,71.592896
8,372.0,348.37,950.24,799.0108,151.22919,151.22919
3,127.0,293.49,303.19998,365.86197,-62.661987,62.661987
6,907.0,1650.17,1737.86,1816.7759,-78.91589,78.91589
1,432.0,581.71,448.34,544.0198,-95.67978,95.67978
10,631.0,1220.71,1730.86,1742.089,-11.229004,11.229004
2,1139.0,306.43,726.14,634.2866,91.85339,91.85339
1,716.0,1396.41,1376.59,1354.306,22.283936,22.283936
8,392.0,661.27,978.13,956.814,21.315979,21.315979
3,375.0,1346.21,1339.93,1358.9452,-19.015137,19.015137
4,262.0,1681.28,1435.34,1442.4424,-7.102417,7.102417
11,532.0,2419.86,1653.69,1692.6805,-38.9906,38.9906
1,250.0,1300.17,1145.33,1133.8151,11.514893,11.514893
3,307.0,266.21,540.97003,522.9761,17.993958,17.993958
3,606.0,1184.23,1364.54,1389.1556,-24.6156,24.6156
11,17.0,550.58,830.07,794.32916,35.740845,35.740845
6,924.0,1227.21,1871.76,1821.1487,50.61133,50.61133
7,1126.0,1103.75,2014.72,1945.498,69.221924,69.221924
10,273.0,799.9,1155.05,1165.549,-10.498901,10.498901
1,309.0,1211.37,1110.55,1104.9465,5.6035156,5.6035156
12,307.0,957.17,1432.75,1511.8839,-79.13391,79.13391
12,96.0,1164.37,1553.21,1587.6113,-34.401367,34.401367
8,467.0,1178.71,1483.33,1514.7216,-31.391602,31.391602
10,150.0,418.41,844.9,756.7026,88.19745,88.19745
4,205.0,545.57,682.22,651.18933,31.03064,31.03064
2,1189.0,1164.74,1666.52,1423.3077,243.21228,243.21228
10,1083.0,2105.36,1844.5801,1875.9541,-31.374023,31.374023
5,36.0,2022.94,1410.58,1433.1472,-22.56726,22.56726
6,471.0,332.51,872.19,855.3651,16.82489,16.82489
10,643.0,2263.77,1685.92,1688.5988,-2.678711,2.678711
11,24.0,2029.04,1569.37,1563.7035,5.666504,5.666504
12,714.0,2003.23,1829.06,1804.9319,24.128174,24.128174
4,305.0,125.79,664.43,564.7686,99.66138,99.66138
14,296.0,485.68,924.9,1182.6528,-257.7528,257.7528
11,741.0,1207.39,1878.0599,1816.4137,61.64624,61.64624
12,986.0,2390.92,1760.0,1810.2301,-50.230103,50.230103
8,978.0,710.43,1624.58,1520.0507,104.5293,104.5293
8,1009.0,1378.07,1903.76,1865.8815,37.87854,37.87854
3,80.0,517.54,457.48996,491.2925,-33.80255,33.80255
10,164.0,1144.9,1516.43,1514.9341,1.4959717,1.4959717
5,840.0,941.55,1676.48,1515.7124,160.76758,160.76758
5,629.0,484.34,1029.87,947.636,82.23401,82.23401
6,761.0,530.19,1120.1,1145.2437,-25.143677,25.143677
1,292.0,449.83,363.02005,392.51266,-29.492615,29.492615
2,370.0,1554.5,1311.23,1318.3341,-7.104126,7.104126
14,1158.0,2104.61,1899.69,1924.161,-24.47107,24.47107
3,1166.0,530.44,785.59,814.7746,-29.18457,29.18457
12,916.0,2394.85,1740.85,1806.7258,-65.875854,65.875854
14,516.0,1464.67,1842.1,1868.2512,-26.151245,26.151245
5,467.0,1243.31,1549.82,1482.9391,66.88086,66.88086
5,654.0,1272.89,1724.68,1602.5391,122.14099,122.14099
5,1076.0,190.33,879.65,906.1237,-26.473694,26.473694
14,81.0,1251.97,1682.62,1690.4393,-7.819336,7.819336
3,760.0,2073.25,1522.45,1521.5913,0.8586426,0.8586426
5,714.0,617.72,1164.2,1110.4424,53.75757,53.75757
4,217.0,1506.46,1455.37,1396.0808,59.289185,59.289185
6,840.0,870.82,1496.46,1610.6467,-114.18677,114.18677
4,263.0,2469.06,1503.98,1485.9833,17.996704,17.996704
2,794.32,402.31,671.06,688.2339,-17.17389,17.17389
11,663.0,2141.08,1715.29,1750.2266,-34.936523,34.936523
3,1136.0,1296.54,1536.6,1460.891,75.708984,75.708984
13,8.0,78.44,713.71,736.0519,-22.341858,22.341858
6,204.0,818.99,628.4,599.6257,28.774353,28.774353
5,955.0,106.86,897.78,896.4782,1.3018188,1.3018188
9,748.0,653.42,1249.66,1470.4612,-220.80115,220.80115
9,662.0,2275.59,1599.27,1664.0554,-64.7854,64.7854
13,63.0,107.92,710.25006,923.49725,-213.2472,213.2472
9,218.0,1203.45,1561.63,1527.9099,33.720093,33.720093
2,713.0,740.33,1048.28,940.58203,107.698,107.698
9,13.0,986.41,1271.52,1317.0999,-45.579834,45.579834
12,33.0,1249.13,1707.38,1576.5485,130.83154,130.83154
14,865.0,1422.11,1921.1799,1940.3175,-19.137573,19.137573
2,301.0,769.23,731.28,756.85144,-25.571411,25.571411
14,530.0,2028.06,2079.14,1871.6473,207.49255,207.49255
3,512.0,1251.6,1360.76,1391.496,-30.735962,30.735962
3,769.0,2497.93,1587.8,1553.7202,34.079834,34.079834
3,269.0,708.05,799.12,776.461,22.658997,22.658997
5,1010.0,2054.21,1810.37,1704.9203,105.44971,105.44971
1,181.0,128.05,225.12004,242.53056,-17.410522,17.410522
10,872.0,2191.27,1776.62,1745.9705,30.649536,30.649536
4,650.0,619.49,676.38,694.7974,-18.41742,18.41742
14,1100.0,237.69,1265.57,1356.2472,-90.677246,90.677246
5,66.13,848.03,1050.25,965.483,84.76703,84.76703
12,1075.0,2328.11,1798.38,1840.5885,-42.208496,42.208496
4,1194.0,2250.51,1691.15,1571.3602,119.789795,119.789795
10,87.0,498.96,781.97003,746.91406,35.05597,35.05597
12,333.0,1103.21,1618.13,1666.3472,-48.217163,48.217163
7,636.0,697.02,1276.0599,1247.3816,28.678345,28.678345
7,623.0,1691.39,1800.86,1692.4546,108.405396,108.405396
6,470.0,2235.72,1628.6,1608.3528,20.247192,20.247192
2,660.0,1944.4,1531.2,1476.3304,54.869507,54.869507
11,650.0,524.8,1179.09,1314.2883,-135.19836,135.19836
6,884.0,1798.31,1897.87,1796.5928,101.27722,101.27722
1,252.75,285.5,331.7399,288.3682,43.371704,43.371704
1,697.0,2148.5,1421.07,1421.8492,-0.7792969,0.7792969
1,362.79,749.19,636.51,661.35425,-24.844238,24.844238
3,175.0,440.19,431.16995,531.3646,-100.19467,100.19467
5,942.0,2092.87,1696.72,1697.0435,-0.32348633,0.32348633
2,1155.0,1517.18,1543.17,1483.322,59.848022,59.848022
8,1173.0,671.25,1419.34,1564.85,-145.51001,145.51001
10,224.0,407.51,794.7,808.91907,-14.219055,14.219055
12,466.0,1291.33,1770.37,1771.3652,-0.99523926,0.99523926
11,1004.0,167.15,1175.65,1224.8027,-49.15271,49.15271
14,1090.0,2248.68,1905.5,1897.8638,7.6362305,7.6362305
7,738.0,730.28,1429.72,1433.2362,-3.5162354,3.5162354
5,1004.0,2367.63,1743.85,1691.6405,52.209473,52.209473
3,154.0,274.04,406.91,438.95383,-32.043823,32.043823
12,675.0,2277.93,1807.33,1781.3168,26.013184,26.013184
3,41.0,4.52,320.12003,334.07547,-13.955444,13.955444
7,125.0,193.62,616.24,621.8676,-5.6276245,5.6276245
2,798.0,2334.41,1485.4,1514.2899,-28.889893,28.889893
10,965.0,1851.28,1805.77,1771.6177,34.152344,34.152344
8,836.0,735.52,1606.63,1506.8776,99.75244,99.75244
5,781.0,2114.27,1789.85,1711.7694,78.08057,78.08057
2,941.0,1565.77,1432.79,1488.2402,-55.450195,55.450195
3,692.0,450.7,748.57,750.78033,-2.2103271,2.2103271
12,643.0,2194.16,1758.03,1782.5215,-24.491455,24.491455
9,1078.0,161.85,1260.96,1300.81,-39.850098,39.850098
7,1168.0,667.94,1639.55,1463.9158,175.63428,175.63428
1,462.0,2047.57,1202.9,1300.976,-98.07593,98.07593
12,1065.0,203.2,1408.25,1299.7925,108.45752,108.45752
2,222.0,456.24,437.4,433.79245,3.607544,3.607544
5,521.0,1448.55,1624.01,1601.5962,22.413818,22.413818
8,1124.0,1908.69,1833.27,1795.862,37.40796,37.40796
5,586.0,2135.36,1661.61,1646.2166,15.393433,15.393433
13,19.0,807.27,1331.53,1269.5378,61.992188,61.992188
5,516.0,1450.67,1547.5,1599.0143,-51.514282,51.514282
1,288.72,159.26,303.9401,275.78568,28.154419,28.154419
5,477.0,704.42,1045.96,1060.6781,-14.71814,14.71814
5,262.0,1173.79,1485.59,1378.6598,106.930176,106.930176
14,600.0,1120.05,1847.84,1864.2462,-16.40625,16.40625
11,654.0,1516.42,1870.4299,1822.801,47.628906,47.628906
5,754.0,489.99,765.13,883.1054,-117.9754,117.9754
9,994.0,1742.62,1849.58,1861.5383,-11.958374,11.958374
13,1055.0,2005.84,1997.52,1877.2734,120.24658,120.24658
1,893.0,19.76,570.71,564.0999,6.6101074,6.6101074
10,834.0,1820.8,1883.49,1750.6365,132.85352,132.85352
1,276.85,485.54,361.66,421.38284,-59.72284,59.72284
2,752.0,958.29,1144.41,1256.0428,-111.63281,111.63281
6,909.0,1332.18,1720.21,1821.1764,-100.96643,100.96643
1,458.0,834.7,737.28,792.1517,-54.871643,54.871643
14,807.0,2358.41,1819.41,1869.8752,-50.46521,50.46521
3,471.0,288.19,535.67,609.72015,-74.05017,74.05017
12,37.0,52.65,789.01,758.489,30.520996,30.520996
5,261.0,464.94,621.12,671.0177,-49.897705,49.897705
5,195.73,1228.49,511.23,432.49612,78.73389,78.73389
9,463.0,1024.53,1476.48,1441.5547,34.925293,34.925293
