feature,importance
log_receipts,0.3533417627097681
receipts_duration_interaction,0.3378297157706616
miles_duration_interaction,0.20586063301027627
log_miles,0.025604760084441878
miles_per_day,0.01605841392488371
receipts_per_day,0.014275707406631782
complex_ratio,0.013847005387603506
modular_pattern,0.01042839283031581
duration_squared,0.00907005873114474
hash_feature,0.0054062094161482855
vacation_penalty,0.0026582149119132687
high_mileage_long_trip,0.0024683268539999305
binned_efficiency,0.001296939354162071
is_sweet_spot_duration,0.0009108325840226315
threshold_step,0.0006528960498362974
efficiency_bonus,0.0001918794317906663
modest_spending,9.433009129330268e-05
efficient_short_trip,3.921451106235749e-06
low_receipt_penalty,0.0
balanced_trip,0.0
