feature,importance,feature_type
poly_1_1_2,0.21959402338455014,Engineering
poly_1_0_3,0.11991047107516938,Engineering
poly_0_1_3,0.06925601605305108,Engineering
receipts_power_2.5,0.03758387923298703,Engineering
poly_1_0_2,0.033555273220276724,Engineering
interview_interaction_176,0.029252869679592043,Interview
interaction_duration_miles_receipts,0.028883721512883716,Interview
sinh_receipts,0.026737707763375345,Engineering
poly_2_1_1,0.025066735878016378,Engineering
poly_1_1_1,0.023544314208875025,Engineering
row_max,0.019866316560662203,Engineering
poly_1_2_1,0.01604579071555712,Engineering
interaction_duration_sq_miles,0.015970738291650927,Interview
receipts_power_4,0.015694627854129124,Engineering
receipts_power_0.5,0.014031232931856126,Engineering
row_std,0.01326930413798656,Engineering
row_mean,0.012937274542213176,Engineering
poly_3_1_0,0.012029360931886444,Engineering
geometric_mean,0.01154396200346731,Engineering
poly_2_1_0,0.011495688568846751,Engineering
row_range,0.011137622966204283,Engineering
interview_interaction_170,0.009137567469490323,Interview
poly_2_0_1,0.00801853539259598,Engineering
log2_receipts,0.006824786010205628,Engineering
poly_2_0_2,0.006493814682296504,Engineering
interview_interaction_55,0.0059462780838923715,Interview
poly_1_2_0,0.0038872216546236597,Engineering
interview_interaction_140,0.003532445468421595,Interview
interview_interaction_256,0.0034041624585332856,Interview
miles_duration_product,0.0032471707505669373,Interview
interview_interaction_46,0.0029412628011112173,Interview
interview_interaction_45,0.002940011167672308,Interview
poly_1_3_0,0.002721898806981169,Engineering
interview_interaction_216,0.002638585627815133,Interview
eng_complex_170,0.002412449170061667,Engineering
interview_interaction_215,0.0023339042260165635,Interview
interview_interaction_26,0.0022110056990895122,Interview
cbrt_receipts,0.002178879474567305,Engineering
sin_miles_freq_4,0.002131898430036324,Engineering
eng_complex_21,0.0021004533575300815,Engineering
hash_mod_47_37_3,0.0020993390942142705,Engineering
xor_all,0.0020246294715462448,Engineering
fourier_receipts_sin_5,0.0019482631977676228,Engineering
hash_sin_41,0.0019382382265370546,Engineering
spending_efficiency_3,0.0019302187451067617,Interview
hash_sin_43,0.0019288410875034608,Engineering
hash_cos_31,0.0018226019361554228,Engineering
sin_duration_freq_2,0.001803210185275743,Interview
hash_cos_41,0.001711034423670519,Engineering
hash_sin_53,0.0016964444226858515,Engineering
hash_sin_47,0.0016726093696338847,Engineering
fourier_miles_sin_4,0.0016675399315310294,Engineering
interview_interaction_210,0.0016178448328925442,Interview
row_median,0.0015912021824537226,Engineering
poly_1_1_0,0.0015796656096643297,Engineering
sin_receipts,0.0015705350767176362,Engineering
fourier_miles_sin_2,0.0015580433231607075,Engineering
interview_interaction_110,0.0014768672210550417,Interview
