case_id,trip_duration_days,miles_traveled,total_receipts_amount,predicted_reimbursement
1,3,191.0,21.87,429.61
2,1,81.0,3.93,178.14
3,3,204.0,16.76,436.52
4,1,64.0,22.47,186.12
5,3,204.0,22.19,455.81
6,1,51.0,17.84,161.1
7,3,207.0,18.16,456.88
8,1,182.0,11.75,230.71
9,1,164.0,9.59,223.76
10,2,109.0,14.74,251.81
11,1,110.0,9.81,186.04
12,1,50.0,0.27,166.01
13,2,41.0,2.06,212.21
14,3,143.0,24.16,423.48
15,2,53.0,2.24,216.33
16,3,205.0,1.96,422.01
17,3,163.0,15.86,408.01
18,3,38.0,1.85,323.69
19,3,182.0,2.42,422.1
20,3,144.0,9.52,403.88
21,2,192.0,13.65,304.44
22,1,29.0,17.29,157.53
23,1,167.0,1.14,232.31
24,2,30.0,6.32,200.83
25,3,160.0,24.82,413.65
26,1,167.0,22.49,219.97
27,1,194.0,1.44,235.4
28,2,70.0,2.48,219.77
29,1,143.0,4.06,227.77
30,3,168.0,0.83,402.03
31,2,141.0,9.16,286.76
32,2,165.0,9.62,285.99
33,2,162.0,5.18,292.76
34,1,147.0,7.96,204.26
35,2,45.0,13.79,199.31
36,2,53.0,17.66,213.56
37,2,179.0,19.26,315.56
38,1,41.0,17.06,171.77
39,3,133.0,14.89,389.61
40,2,164.0,22.83,292.61
41,1,34.0,19.68,152.48
42,1,158.0,23.46,239.0
43,2,50.0,24.81,210.01
44,3,45.0,8.01,351.56
45,1,32.0,2.19,156.14
46,1,32.0,21.24,164.4
47,3,187.0,15.92,421.23
48,1,129.0,15.66,208.13
49,3,41.0,12.47,337.75
50,2,102.0,15.32,260.2
51,3,154.0,6.9,396.85
52,3,79.0,17.07,380.71
53,1,91.0,23.11,223.21
54,3,164.0,8.58,410.29
55,3,80.0,10.14,374.97
56,2,199.0,19.16,328.79
57,3,185.0,6.81,415.91
58,2,148.0,6.62,275.42
59,1,28.0,12.2,156.03
60,3,158.0,22.15,429.59
61,1,37.0,5.4,153.04
62,2,64.0,9.99,192.51
63,2,95.0,3.33,247.25
64,1,115.0,23.11,223.6
65,3,168.0,14.87,409.58
66,3,66.0,4.87,340.67
67,2,119.0,16.17,274.76
68,3,147.0,19.52,413.59
69,3,186.0,19.58,433.02
70,3,190.0,10.98,416.78
71,2,105.0,10.56,250.66
72,3,10.0,22.04,315.82
73,1,49.0,2.59,156.69
74,3,205.0,13.12,450.03
75,2,56.0,11.68,209.84
76,3,110.0,19.42,391.76
77,1,74.0,3.23,190.31
78,2,192.0,9.9,294.58
79,2,174.0,9.43,296.37
80,2,22.0,11.95,179.81
81,2,58.0,18.66,218.44
82,2,57.0,7.06,225.69
83,2,60.0,4.18,223.24
84,1,80.0,4.75,182.13
85,3,15.0,24.86,304.4
86,3,176.0,13.54,422.79
87,1,148.0,2.15,225.66
88,2,82.0,17.51,243.08
89,1,113.0,24.76,202.49
90,2,113.0,0.31,256.78
91,1,152.0,21.42,237.34
92,2,123.0,1.81,248.7
93,3,105.0,18.69,382.28
94,1,118.0,13.64,199.94
95,2,146.0,19.39,292.71
96,3,31.0,18.6,332.52
97,2,205.0,18.62,310.24
98,1,186.0,22.66,247.31
99,3,57.0,11.63,344.45
100,2,157.0,18.2,301.26
101,5,389.0,423.41,744.62
102,5,402.0,1398.41,1515.79
103,5,283.0,610.77,794.98
104,5,805.0,1321.66,1666.89
105,5,680.0,778.66,1287.43
106,5,103.0,469.84,576.36
107,5,264.0,1234.12,1416.23
108,5,665.0,1060.18,1490.29
109,5,290.0,527.13,755.97
110,5,323.0,1143.58,1388.7
111,5,131.0,596.78,689.37
112,5,273.0,1532.89,1497.08
113,5,711.0,971.64,1473.04
114,5,641.0,1141.7,1534.21
115,5,815.0,966.17,1520.4
116,5,213.0,1459.76,1459.7
117,5,583.0,266.32,833.03
118,5,128.0,586.82,671.31
119,5,360.0,964.13,1283.49
120,5,146.0,608.05,720.54
121,5,774.0,1262.9,1644.41
122,5,636.0,1251.94,1588.79
123,5,239.0,706.12,905.46
124,5,847.0,603.11,1189.51
125,5,129.0,646.63,723.69
126,5,620.0,1326.79,1601.01
127,5,399.0,319.42,745.36
128,5,274.0,531.99,569.97
129,5,52.0,493.31,575.18
130,5,616.0,178.66,819.24
131,5,342.0,1302.36,1472.15
132,5,411.0,683.98,984.8
133,5,713.0,519.06,1027.78
134,5,705.0,202.99,851.11
135,5,361.0,1119.02,1384.36
136,5,427.0,220.66,718.97
137,5,178.0,935.48,1181.86
138,5,656.0,929.35,1399.67
139,5,288.0,1365.81,1463.91
140,5,562.0,444.56,867.89
141,5,230.0,533.79,701.26
142,5,298.0,811.29,1078.32
143,5,573.0,742.77,1159.46
144,5,648.0,99.23,823.04
145,5,762.0,491.48,1027.7
146,5,605.0,963.51,1392.63
147,5,557.0,1493.93,1614.2
148,5,513.0,1352.63,1570.79
149,5,689.0,276.79,876.19
150,5,345.0,1267.3,1461.02
151,5,719.0,216.37,875.97
152,5,490.0,1326.91,1510.2
153,5,450.0,741.83,1098.3
154,5,519.0,1146.75,1482.75
155,5,125.0,1247.3,1362.32
156,5,196.0,801.36,1001.69
157,5,836.0,657.77,1252.61
158,5,288.0,965.55,1254.24
159,5,485.0,217.71,757.53
160,5,114.0,594.61,682.73
161,5,455.0,979.22,1339.07
162,5,202.0,209.14,587.86
163,5,669.0,659.98,1113.5
164,5,277.0,692.71,908.62
165,5,376.0,1286.37,1475.95
166,5,732.0,848.46,1392.9
167,5,332.0,331.21,709.16
168,5,288.0,416.49,580.51
169,5,801.0,1233.24,1649.29
170,5,67.0,64.42,459.83
171,5,359.0,216.75,669.58
172,5,689.0,372.23,929.56
173,5,325.0,575.91,783.07
174,5,155.0,1022.2,1244.56
175,5,188.0,1142.37,1339.82
176,5,759.0,842.0,1397.84
177,5,589.0,1234.38,1551.42
178,5,296.0,478.2,724.13
179,5,270.0,284.47,644.4
180,5,55.0,712.64,762.66
181,5,562.0,1178.89,1512.27
182,5,273.0,1052.61,1308.87
183,5,223.0,825.01,1050.49
184,5,808.0,1265.63,1655.32
185,5,818.0,486.9,1028.19
186,5,87.0,896.07,1090.6
187,5,162.0,663.77,765.64
188,5,700.0,273.82,878.85
189,5,141.0,778.22,927.19
