actual,predicted,absolute_error
804.96,754.7191,50.240883789062536
949.04,898.83734,50.202658691406214
1718.79,1797.922,79.13199707031254
203.52,187.04477,16.475230712890635
1858.36,1886.9038,28.5438085937501
1987.39,1948.5803,38.8096777343751
384.77,441.4692,56.69920776367189
572.73,625.0784,52.34843017578123
802.95,831.69434,28.744335937499955
1961.96,1876.0715,85.88846679687504
1945.95,1896.1749,49.775073242187545
1875.72,1917.6146,41.89462402343747
862.61,943.3137,80.70372070312499
1721.56,1753.2982,31.738217773437555
516.69,544.5221,27.832094726562445
1995.87,2105.1335,109.26354492187511
880.41,760.098,120.31197753906247
1557.2,1555.937,1.2629882812500455
1077.35,1128.5123,51.16232910156259
366.87,373.46667,6.5966748046874955
1387.43,1325.6068,61.823188476562564
1559.59,1622.8167,63.22665039062508
1237.07,1291.052,53.982001953125064
1292.77,1300.7548,7.984760742187518
1794.57,1844.568,49.997993164062564
1133.45,1044.1555,89.29448242187505
1367.64,1360.8481,6.7918554687501
1237.71,1230.822,6.887978515625036
1421.45,1451.8422,30.392163085937455
780.15,852.7265,72.57650146484377
1600.42,1673.9285,73.50846679687493
1658.97,1728.9849,70.01486328124997
1386.33,1397.3495,11.019487304687573
1996.18,1991.2141,4.965888671875064
1374.91,1425.04,50.13003906249992
835.08,820.76337,14.316633300781291
2098.07,1906.4205,191.64946777343766
1729.08,1725.3932,3.6868115234374272
255.57,278.30383,22.733833007812507
1454.05,1514.1111,60.061083984375045
1157.87,1325.7634,167.8934277343751
1880.76,2019.1992,138.43921875
1587.21,1605.0674,17.857382812499964
631.5,668.453,36.9530029296875
1918.89,1903.7935,15.0965429687501
1610.25,1485.1819,125.068115234375
1237.62,1134.3353,103.28467285156239
1361.3,1444.5454,83.24541015625005
1577.01,1567.6984,9.311635742187491
1090.35,1230.5068,140.1568359375001
703.45,787.19037,83.7403686523437
1202.69,1157.902,44.788022460937555
2032.23,1916.2463,115.98366210937502
1434.84,1500.5083,65.66830078125008
950.24,834.1124,116.12757324218751
303.2,335.53528,32.33527832031251
1737.86,1834.2483,96.3882910156251
448.34,548.6159,100.27590576171878
1730.86,1726.6995,4.1605371093749
726.14,667.7357,58.404282226562486
1376.59,1343.1753,33.41470703124992
978.13,995.0069,16.876896972656255
1339.93,1383.6057,43.675712890624936
1435.34,1474.55,39.21004882812508
1653.69,1677.3574,23.667421874999945
1145.33,1104.4744,40.85563476562493
540.97,523.9663,17.003691406250027
