trip_duration_days,miles_traveled,total_receipts_amount,actual_reimbursement,predicted_reimbursement,error,abs_error
3,1027.0,180.0,804.96,807.6128,-2.652771,2.652771
9,483.0,52.64,949.04004,889.88165,59.158386,59.158386
6,836.0,2035.17,1718.79,1802.9674,-84.17737,84.17737
2,13.0,4.67,203.52007,191.40764,12.112427,12.112427
7,1086.0,2319.81,1858.36,1809.2582,49.101807,49.101807
8,1005.0,1391.37,1987.39,1885.668,101.722046,101.722046
3,182.0,347.82,384.77,581.40106,-196.63107,196.63107
3,275.0,543.74,572.73,696.3239,-123.59393,123.59393
8,413.0,222.83,802.95,851.4508,-48.500793,48.500793
7,756.0,1473.59,1961.96,1845.3894,116.57056,116.57056
9,1165.0,1868.79,1945.95,1853.8162,92.13379,92.13379
12,1046.0,1850.85,1875.72,1873.1595,2.5604248,2.5604248
11,273.0,502.37,862.61,903.1033,-40.493286,40.493286
13,125.0,2004.61,1721.5599,1674.5765,46.9834,46.9834
1,780.0,366.37,516.69006,688.1764,-171.48633,171.48633
14,976.0,1526.58,1995.87,2023.8536,-27.983643,27.983643
8,266.87,252.08,880.41,787.7723,92.637695,92.637695
9,131.0,1990.0,1557.2,1546.6309,10.569092,10.569092
6,290.0,814.04,1077.35,1157.4979,-80.14795,80.14795
3,80.0,21.05,366.86996,423.45505,-56.585083,56.585083
12,1077.0,32.55,1387.43,1259.9733,127.45679,127.45679
10,459.0,2183.11,1559.59,1659.312,-99.722046,99.722046
10,57.0,936.89,1237.07,1281.981,-44.91101,44.91101
14,767.0,186.47,1292.77,1302.9266,-10.156616,10.156616
8,1053.0,1864.01,1794.57,1845.2455,-50.675537,50.675537
6,1044.0,47.46,1133.45,1060.2947,73.15527,73.15527
2,423.0,1639.17,1367.64,1360.2798,7.3602295,7.3602295
6,697.0,651.64,1237.71,1222.1276,15.582397,15.582397
1,1068.0,2011.28,1421.45,1409.4005,12.049438,12.049438
4,1048.0,279.75,780.15,879.95026,-99.80023,99.80023
7,671.0,1262.85,1600.42,1635.2428,-34.822754,34.822754
5,1120.0,1514.91,1658.97,1681.8181,-22.848145,22.848145
3,240.0,1895.67,1386.33,1399.3035,-12.973511,12.973511
12,1003.0,983.23,1996.18,1924.9303,71.249756,71.249756
1,822.0,2170.53,1374.91,1397.254,-22.343994,22.343994
8,297.64,481.09,835.08,861.25714,-26.177124,26.177124
11,916.0,1036.91,2098.07,1859.3129,238.7572,238.7572
5,755.0,1584.41,1729.08,1688.1239,40.956055,40.956055
1,359.62,221.15,255.56999,426.1365,-170.56651,170.56651
5,132.0,2387.03,1454.05,1412.6459,41.404175,41.404175
10,1192.0,23.47,1157.87,1236.9971,-79.127075,79.127075
9,1012.0,1429.04,1880.76,1937.0725,-56.3125,56.3125
9,578.0,1167.71,1587.21,1596.1953,-8.985352,8.985352
4,477.0,18.97,631.50006,673.1465,-41.646423,41.646423
14,414.0,1919.7,1918.89,1873.844,45.04602,45.04602
10,5.0,1338.9,1610.25,1351.4518,258.79822,258.79822
2,1175.0,816.2,1237.62,1105.0452,132.57483,132.57483
3,1158.0,1107.4,1361.3,1404.5878,-43.28772,43.28772
6,522.0,1210.87,1577.01,1519.8287,57.181274,57.181274
11,448.0,732.79,1090.35,1216.5957,-126.24573,126.24573
8,323.0,46.48,703.45,754.6454,-51.195374,51.195374
4,184.0,983.77,1202.69,1192.5955,10.094482,10.094482
7,950.0,1739.62,2032.23,1871.6954,160.53455,160.53455
3,1159.0,2209.44,1434.84,1508.3009,-73.46094,73.46094
8,372.0,348.37,950.24,858.294,91.945984,91.945984
3,127.0,293.49,303.19998,412.19308,-108.9931,108.9931
6,907.0,1650.17,1737.86,1866.2599,-128.3999,128.3999
1,432.0,581.71,448.34,613.95135,-165.61136,165.61136
10,631.0,1220.71,1730.86,1713.1128,17.747192,17.747192
2,1139.0,306.43,726.14,750.74677,-24.60675,24.60675
1,716.0,1396.41,1376.59,1390.2506,-13.660645,13.660645
8,392.0,661.27,978.13,959.92224,18.207764,18.207764
3,375.0,1346.21,1339.93,1383.0347,-43.104614,43.104614
4,262.0,1681.28,1435.34,1465.9943,-30.654297,30.654297
11,532.0,2419.86,1653.69,1713.8666,-60.176636,60.176636
1,250.0,1300.17,1145.33,1105.2471,40.082886,40.082886
3,307.0,266.21,540.97003,591.19885,-50.22882,50.22882
3,606.0,1184.23,1364.54,1375.3435,-10.803467,10.803467
11,17.0,550.58,830.07,872.2151,-42.14508,42.14508
6,924.0,1227.21,1871.76,1807.1167,64.64331,64.64331
7,1126.0,1103.75,2014.72,1912.7335,101.98645,101.98645
10,273.0,799.9,1155.05,1171.9862,-16.936157,16.936157
1,309.0,1211.37,1110.55,1076.5685,33.981567,33.981567
12,307.0,957.17,1432.75,1454.6642,-21.914185,21.914185
12,96.0,1164.37,1553.21,1548.8972,4.312744,4.312744
8,467.0,1178.71,1483.33,1487.7393,-4.4093018,4.4093018
10,150.0,418.41,844.9,816.2226,28.67743,28.67743
4,205.0,545.57,682.22,708.5896,-26.369629,26.369629
2,1189.0,1164.74,1666.52,1384.706,281.81396,281.81396
10,1083.0,2105.36,1844.5801,1859.0209,-14.440796,14.440796
5,36.0,2022.94,1410.58,1347.965,62.61499,62.61499
6,471.0,332.51,872.19,878.29913,-6.109131,6.109131
10,643.0,2263.77,1685.92,1702.7152,-16.795166,16.795166
11,24.0,2029.04,1569.37,1500.7438,68.62622,68.62622
12,714.0,2003.23,1829.06,1839.2178,-10.157715,10.157715
4,305.0,125.79,664.43,654.56744,9.862549,9.862549
14,296.0,485.68,924.9,1103.73,-178.82996,178.82996
11,741.0,1207.39,1878.0599,1816.9982,61.061768,61.061768
12,986.0,2390.92,1760.0,1823.8468,-63.8468,63.8468
8,978.0,710.43,1624.58,1468.7626,155.81738,155.81738
8,1009.0,1378.07,1903.76,1904.8662,-1.1062012,1.1062012
3,80.0,517.54,457.48996,595.17346,-137.6835,137.6835
10,164.0,1144.9,1516.43,1453.0143,63.41577,63.41577
5,840.0,941.55,1676.48,1503.8304,172.64954,172.64954
5,629.0,484.34,1029.87,957.73804,72.13196,72.13196
6,761.0,530.19,1120.1,1181.6227,-61.522705,61.522705
1,292.0,449.83,363.02005,485.44724,-122.427185,122.427185
2,370.0,1554.5,1311.23,1341.9667,-30.736694,30.736694
14,1158.0,2104.61,1899.69,1962.9413,-63.251343,63.251343
3,1166.0,530.44,785.59,905.1191,-119.52905,119.52905
12,916.0,2394.85,1740.85,1817.4019,-76.55188,76.55188
14,516.0,1464.67,1842.1,1879.2393,-37.139282,37.139282
5,467.0,1243.31,1549.82,1485.4579,64.36206,64.36206
5,654.0,1272.89,1724.68,1613.452,111.22803,111.22803
5,1076.0,190.33,879.65,913.7923,-34.142273,34.142273
14,81.0,1251.97,1682.62,1702.3448,-19.724854,19.724854
3,760.0,2073.25,1522.45,1542.1941,-19.74414,19.74414
5,714.0,617.72,1164.2,1125.4755,38.724487,38.724487
4,217.0,1506.46,1455.37,1413.3278,42.042236,42.042236
6,840.0,870.82,1496.46,1498.1683,-1.708374,1.708374
4,263.0,2469.06,1503.98,1451.2975,52.682495,52.682495
2,794.32,402.31,671.06,716.8034,-45.74341,45.74341
11,663.0,2141.08,1715.29,1785.6864,-70.39636,70.39636
3,1136.0,1296.54,1536.6,1463.4753,73.12463,73.12463
13,8.0,78.44,713.71,729.2983,-15.588257,15.588257
6,204.0,818.99,628.4,703.87317,-75.473145,75.473145
5,955.0,106.86,897.78,941.9475,-44.16748,44.16748
9,748.0,653.42,1249.66,1324.0505,-74.3905,74.3905
